Price,Danger,Result,high,low,tick_volume
1.4676,12198,1,1.4708,1.463,12198
1.4656,20634,1,1.4689999999999999,1.462,20634
1.4725,13113,1,1.4756,1.4641,13113
1.4714,14603,1,1.4729999999999999,1.4613,14603
1.4812,13518,1,1.4837,1.4701,13518
1.4835,12563,1,1.4862,1.4787,12563
1.4828999999999999,21682,1,1.4843,1.4794,21682
1.4973,14441,1,1.4985,1.4777,14441
1.5119,18526,1,1.5142,1.4969999999999999,18526
1.5192,15013,1,1.5228000000000002,1.5072,15013
1.518,17197,1,1.5238,1.5142,17197
1.5203,32828,1,1.5274999999999999,1.5156,32828
1.5215,14250,1,1.5248,1.5171999999999999,14250
1.5264,14536,1,1.5301,1.5144,14536
1.5377999999999998,15590,1,1.5393,1.526,15590
1.5344,16169,1,1.5463,1.5312999999999999,16169
1.5348000000000002,35778,1,1.5403,1.5312000000000001,35778
1.5338,16359,1,1.5493999999999999,1.5281,16359
1.5565,15871,1,1.5572,1.5333,15871
1.5626,16693,1,1.5644,1.5522,16693
1.5667,17577,1,1.5687,1.5531000000000001,17577
1.5728,50102,1,1.5903,1.5683,50102
1.5621,18524,0,1.5831,1.5615999999999999,18524
1.5642,19799,1,1.5784,1.5581,19799
1.5430000000000001,17660,1,1.5646,1.5394999999999999,17660
1.5455,3830,1,1.5472000000000001,1.5404,3830
1.5434999999999999,9468,1,1.5455,1.534,9468
1.5628,14925,1,1.5657,1.5406,14925
1.5840999999999998,15520,0,1.5857,1.5583,15520
1.5777999999999999,15898,0,1.5845,1.5726,15898
1.5796999999999999,14457,1,1.5838,1.5739999999999998,14457
1.5760999999999998,13547,1,1.5895000000000001,1.5758,13547
1.5623,14968,1,1.5785,1.5563,14968
1.5685,14430,1,1.5701,1.5532,14430
1.568,15002,1,1.5687,1.5510000000000002,15002
1.5733000000000001,13651,1,1.5773000000000001,1.5636999999999999,13651
1.5703,11555,1,1.5735999999999999,1.5627,11555
1.5703,13514,1,1.5796999999999999,1.5673,13514
1.5836000000000001,12828,1,1.5864,1.5683,12828
1.5742,15365,0,1.5912,1.5724,15365
1.5824,13667,0,1.5854,1.5737999999999999,13667
1.5835,15031,0,1.5885,1.567,15031
1.5786,13183,0,1.5874000000000001,1.575,13183
1.5941999999999998,14951,0,1.5977999999999999,1.5756999999999999,14951
1.5892,15395,0,1.5981999999999998,1.5845,15395
1.5807,14125,0,1.5955,1.571,14125
1.5907,12702,0,1.5946,1.579,12702
1.5996000000000001,15179,0,1.6018,1.5833,15179
1.5882,13746,0,1.5997,1.5859999999999999,13746
1.568,15860,0,1.589,1.5636999999999999,15860
1.5607,15188,0,1.5706,1.5554000000000001,15188
1.5653000000000001,12925,0,1.5692,1.5592000000000001,12925
1.5565,13134,0,1.5659,1.5539,13134
1.5617,14882,0,1.5643,1.5516,14882
1.5467,12917,0,1.5642,1.5429,12917
1.5432000000000001,13678,1,1.5497,1.536,13678
1.5497999999999998,9266,1,1.5518,1.5422,9266
1.5531000000000001,12147,1,1.5593,1.5452,12147
1.5396999999999998,13265,1,1.5537999999999998,1.5365,13265
1.5403,15426,1,1.544,1.5284,15426
1.5478,12539,1,1.5488,1.5392000000000001,12539
1.5539,11826,1,1.5569,1.5365,11826
1.5468,13586,1,1.5565,1.5430000000000001,13586
1.5476,12089,1,1.5486,1.5394999999999999,12089
1.5441,13086,1,1.5545,1.5417999999999998,13086
1.5593,11720,0,1.56,1.5436,11720
1.552,10437,1,1.5632000000000001,1.5485,10437
1.5652,13773,0,1.5678999999999998,1.5502,13773
1.5794000000000001,13528,0,1.5796999999999999,1.563,13528
1.5723,13399,0,1.5813000000000001,1.5692,13399
1.5767,10257,1,1.5793,1.5695999999999999,10257
1.5773000000000001,6237,0,1.5791,1.5739999999999998,6237
1.5678999999999998,11582,0,1.5817,1.5672000000000001,11582
1.5646,13253,0,1.5758999999999999,1.5607,13253
1.5511,14304,0,1.5663,1.5484,14304
1.5554999999999999,12368,0,1.5568,1.546,12368
1.5539,12665,0,1.5588,1.5486,12665
1.5433,14143,1,1.5627,1.5409000000000002,14143
1.5425,13735,1,1.5482,1.5417999999999998,13735
1.5581,14636,0,1.56,1.5364,14636
1.5772,13583,0,1.5774,1.5571000000000002,13583
1.5642,13768,0,1.5842,1.5617999999999999,13768
1.5455999999999999,15880,1,1.5653000000000001,1.5439,15880
1.5554999999999999,13223,1,1.5586,1.5452,13223
1.5451000000000001,15415,1,1.5566,1.5377999999999998,15415
1.5382,15001,1,1.5482,1.5302,15001
1.5467,12393,1,1.5518,1.5345,12393
1.5505,13439,1,1.5551,1.5459,13439
1.5527,10978,1,1.5535999999999999,1.5462,10978
1.5501,12969,1,1.5586,1.5465,12969
1.5609,11128,1,1.565,1.5491000000000001,11128
1.5514999999999999,11660,1,1.5628,1.5467,11660
1.5569,10989,1,1.562,1.5491000000000001,10989
1.5665,10911,1,1.5685,1.5535,10911
1.575,12795,1,1.5766,1.5628,12795
1.5788,11111,1,1.579,1.5718,11111
1.5754000000000001,11390,1,1.5835,1.573,11390
1.5793,12101,1,1.5826,1.5722,12101
1.589,12862,0,1.589,1.5776,12862
1.5695999999999999,12808,1,1.5908,1.568,12808
1.5705,8366,1,1.5726,1.5654,8366
1.5723,12551,1,1.5752000000000002,1.561,12551
1.5666,12318,1,1.5737999999999999,1.5634000000000001,12318
1.5737999999999999,12285,0,1.5748,1.5649,12285
1.5784,12233,0,1.58,1.569,12233
1.5933000000000002,13370,0,1.5946,1.5764,13370
1.5899999999999999,13275,0,1.5966,1.584,13275
1.5912,15880,0,1.6038000000000001,1.5865,15880
1.5819,14571,0,1.5947,1.58,14571
1.5856,15690,0,1.5892,1.5782,15690
1.5845,12110,0,1.5886,1.5806,12110
1.5924,10412,0,1.593,1.5827,10412
1.5785,13491,0,1.5944,1.5756000000000001,13491
1.5684,14376,0,1.5796999999999999,1.5669,14376
1.5676999999999999,13850,0,1.5713,1.5627,13850
1.5699,13487,0,1.5752000000000002,1.5661,13487
1.5737,10301,0,1.5767,1.5683,10301
1.5583,12132,0,1.5756000000000001,1.5553,12132
1.5575999999999999,13194,0,1.5615999999999999,1.5521,13194
1.5596,12736,0,1.5699,1.5569,12736
1.5553,13070,0,1.5596999999999999,1.5514000000000001,13070
1.5571000000000002,11071,0,1.563,1.5553,11071
1.5449000000000002,14014,0,1.5575999999999999,1.5443,14014
1.5412,12319,0,1.5514999999999999,1.5396999999999998,12319
1.5325,14185,0,1.5501,1.5309,14185
1.5024,18208,0,1.5333,1.4997,18208
1.4892,16619,0,1.5082,1.4879,16619
1.4913,17814,0,1.4963,1.4814,17814
1.492,18212,0,1.4979,1.4841,18212
1.48,16703,0,1.4949,1.4776,16703
1.4684,15964,0,1.4804,1.4658,15964
1.4678,14140,0,1.4767000000000001,1.4671,14140
1.478,15669,0,1.4794,1.4628999999999999,15669
1.4742,14821,0,1.4805,1.4671,14821
1.4896,15503,0,1.4907,1.4729999999999999,15503
1.4777,12996,0,1.4899,1.4757,12996
1.4752,12691,0,1.4807000000000001,1.4696,12691
1.4643,16326,0,1.4759,1.457,16326
1.4714,16713,0,1.4775,1.4633,16713
1.4693,16647,0,1.4809999999999999,1.467,16647
1.4672,13038,0,1.4766,1.4639,13038
1.4586000000000001,12032,0,1.4717,1.4581,12032
1.4515,17193,0,1.4598,1.4465,17193
1.4492,17616,0,1.453,1.4384000000000001,17616
1.4241,19196,1,1.4543,1.4212,19196
1.4232,20999,1,1.4346,1.4195,20999
1.4118,21444,1,1.4428,1.4053,21444
1.4107,22328,1,1.4224999999999999,1.4045,22328
1.3968,21411,1,1.4178,1.3952,21411
1.4012,19934,1,1.404,1.3881000000000001,19934
1.4223,19155,1,1.4231,1.3972,19155
1.428,27066,1,1.448,1.4083,27066
1.4096,27559,1,1.4281,1.4072,27559
1.4323000000000001,26969,0,1.4383,1.4093,26969
1.4323000000000001,28119,0,1.4539,1.4277,28119
1.4489,25394,0,1.4496,1.4151,25394
1.4794,23552,0,1.4865,1.4436,23552
1.467,22295,0,1.4825,1.4621,22295
1.4614,20683,0,1.4745,1.4602,20683
1.4616,21462,0,1.4768,1.4559,21462
1.4619,17892,0,1.4677,1.4554,17892
1.4415,23491,0,1.4567999999999999,1.4301,23491
1.4113,22964,0,1.4425,1.4008,22964
1.4007,22656,0,1.4173,1.3974,22656
1.38,24474,0,1.4022999999999999,1.3746,24474
1.3792,22823,0,1.3906,1.3702,22823
1.3485,28117,0,1.3676,1.3442,28117
1.3612,27579,0,1.3742,1.3481,27579
1.3631,29304,0,1.3754,1.3543,29304
1.3597000000000001,23965,0,1.3784,1.3578999999999999,23965
1.3406,27203,0,1.365,1.3256999999999999,27203
1.3595,23015,0,1.3683,1.3456000000000001,23015
1.3618000000000001,23544,0,1.3768,1.359,23544
1.3458999999999999,23693,0,1.3686,1.3449,23693
1.3479999999999999,26919,0,1.3537,1.3345,26919
1.3421,21656,0,1.3517000000000001,1.3385,21656
1.333,18585,0,1.353,1.3287,18585
1.3053,19537,0,1.3353,1.305,19537
1.2825,25861,1,1.3077,1.2736,25861
1.2962,27512,0,1.3005,1.2727,27512
1.2608,31051,1,1.2972000000000001,1.2494,31051
1.2457,27527,1,1.2686,1.2333,27527
1.2784,26537,0,1.2791000000000001,1.2328000000000001,26537
1.2968,29628,0,1.2991,1.2625,29628
1.2859,29819,0,1.3296000000000001,1.2804,29819
1.2747,26551,0,1.2894999999999999,1.2667,26551
1.2642,20466,1,1.2898,1.2594,20466
1.298,25047,0,1.3046,1.2525,25047
1.2953999999999999,26833,0,1.3115,1.2793,26833
1.2711999999999999,26621,0,1.2955,1.2678,26621
1.2762,24060,0,1.285,1.2652,24060
1.2748,22260,1,1.2925,1.2717,22260
1.2521,21112,1,1.2799,1.2506,21112
1.2505,24586,1,1.2631000000000001,1.2466,24586
1.2767,26690,1,1.2856,1.2387,26690
1.2603,25304,1,1.2827,1.2569,25304
1.2649,23237,0,1.2741,1.2511999999999999,23237
1.2617,22070,1,1.2699,1.2566,22070
1.2488,21762,1,1.2812999999999999,1.2483,21762
1.2452,23955,1,1.2593,1.2433,23955
1.259,23839,1,1.2637,1.2421,23839
1.2952,23146,1,1.2953999999999999,1.2566,23146
1.3063,24737,0,1.3079,1.2803,24737
1.2878,21274,1,1.307,1.2818,21274
1.2904,12357,1,1.2968,1.2859,12357
1.2695,15592,1,1.2955999999999999,1.2644,15592
1.2609,19016,1,1.2711999999999999,1.2581,19016
1.2713,20651,1,1.2765,1.2561,20651
1.2716,19163,1,1.2741,1.2601,19163
1.2775,19567,1,1.2847,1.2548,19567
1.2726,18865,1,1.2798,1.2627,18865
1.2962,17663,1,1.2967,1.2718,17663
1.2926,18688,1,1.3,1.2798,18688
1.3021,17933,1,1.3069,1.2902,17933
1.3352,20658,1,1.3405,1.3,20658
1.3376000000000001,22426,1,1.3414,1.3249,22426
1.3687,19173,1,1.3721,1.3367,19173
1.3996,20001,0,1.4147,1.3628,20001
1.4418,24776,0,1.4437,1.3997,24776
1.4243999999999999,28057,0,1.4718,1.4182000000000001,28057
1.3919000000000001,24091,0,1.4309,1.3824,24091
1.3942999999999999,18747,0,1.4123999999999999,1.3902,18747
1.3927,15255,0,1.4020000000000001,1.3919000000000001,15255
1.3994,7751,0,1.4018,1.3913,7751
1.4038,5898,0,1.4118,1.3988,5898
1.3925,17605,0,1.4361,1.392,17605
1.4057,16515,0,1.422,1.3915,16515
1.3967,14543,0,1.4147,1.3851,14543
1.3884,17196,0,1.4057,1.3839000000000001,17196
1.3635,21779,0,1.3961999999999999,1.3546,21779
1.3534,22948,0,1.3658000000000001,1.3312,22948
1.3644,23156,0,1.3747,1.343,23156
1.3700999999999999,22067,0,1.3798,1.3533,22067
1.3454,19715,0,1.3752,1.3413,19715
1.3357,20376,0,1.3475,1.3288,20376
1.3181,22148,0,1.3373,1.3139,22148
1.319,21312,0,1.3336000000000001,1.3092,21312
1.3108,23574,0,1.324,1.3024,23574
1.33,20957,0,1.3343,1.311,20957
1.3067,16591,0,1.3385,1.3066,16591
1.29,23860,1,1.3103,1.2854999999999999,23860
1.3022,25110,0,1.3085,1.2824,25110
1.3,23009,0,1.3082,1.2907,23009
1.299,21607,0,1.3033000000000001,1.2764,21607
1.3188,21043,0,1.3207,1.286,21043
1.3159,22069,0,1.3328,1.3117,22069
1.3165,23227,0,1.3325,1.3102,23227
1.2952,21748,0,1.3179,1.2932000000000001,21748
1.2796,21972,1,1.2958,1.2762,21972
1.2844,19742,0,1.2898,1.2705,19742
1.304,20065,0,1.3057,1.28,20065
1.2848,21208,0,1.3069,1.2811,21208
1.2791000000000001,20597,0,1.2904,1.276,20597
1.2943,19045,0,1.2992,1.2746,19045
1.3002,18362,0,1.3092,1.2873,18362
1.2912,23702,0,1.3073000000000001,1.2809,23702
1.2906,20097,0,1.2997,1.2832,20097
1.2862,20695,0,1.2943,1.2723,20695
1.2863,18566,0,1.2942,1.282,18566
1.2802,13255,0,1.2835,1.2726,13255
1.2581,20574,0,1.2805,1.2561,20574
1.2529,17898,1,1.2639,1.2511999999999999,17898
1.2673,17504,0,1.2759,1.2526,17504
1.2833,19394,0,1.2883,1.2556,19394
1.2692999999999999,20039,0,1.2991,1.2691,20039
1.2845,19624,0,1.2876,1.2661,19624
1.2722,19601,1,1.2898,1.2689,19601
1.2743,17206,1,1.2809,1.2681,17206
1.2658,19258,1,1.2749,1.2603,19258
1.2576,17887,1,1.2635,1.2544,17887
1.256,18795,1,1.2677,1.252,18795
1.2659,17555,1,1.2661,1.2455,17555
1.2538,16565,1,1.2663,1.248,16565
1.2642,18336,1,1.2753,1.2530999999999999,18336
1.2602,16119,1,1.2726,1.2555,16119
1.2679,18391,1,1.282,1.2578,18391
1.2845,17453,1,1.2863,1.2615,17453
1.2898,19751,1,1.2944,1.2731,19751
1.2926,17577,1,1.2957,1.2862,17577
1.2972000000000001,18244,1,1.307,1.2832,18244
1.3014999999999999,16525,1,1.3032,1.293,16525
1.3509,19137,0,1.3534,1.2985,19137
1.3662,21776,0,1.3737,1.3416000000000001,21776
1.3571,17686,0,1.3726,1.3516,17686
1.3618999999999999,18000,0,1.3735,1.3484,18000
1.3469,19228,0,1.3678,1.343,19228
1.3577,19251,0,1.365,1.3417,19251
1.3528,17012,0,1.3639000000000001,1.3493,17012
1.3292,16000,0,1.3591,1.3255,16000
1.32,17097,1,1.3285,1.3112,17097
1.3241,17021,1,1.3342,1.3173,17021
1.3233,16988,0,1.3286,1.3166,16988
1.3464,18010,0,1.3516,1.3234,18010
1.349,15630,0,1.3495,1.3364,15630
1.3399,15027,0,1.3580999999999999,1.3357,15027
1.3266,15964,0,1.3407,1.3225,15964
1.3267,16330,0,1.3308,1.3147,16330
1.3157,15104,0,1.3335,1.3125,15104
1.3179,4870,1,1.3185,1.3088,4870
1.3367,8747,0,1.3391,1.3125,8747
